time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,0.4885320570960373,4.91877205632818e-09,6.002648113678788e-05,0.0,0.0,0.0,0.2674451081686637,-9.918439296075129e-05,0.010956868269404063,0.0,877.4531,878.8164,4.655505,0.002239341
0.04,-2.782629214136063e-07,2.2801800953295212e-11,0.4965546286281441,6.283183333296093,0.00033920591404701383,0.0,-2.782629214136063e-05,2.280180095329521e-09,0.5348120450420172,-0.00019803371262969938,0.021915158968445016,0.0,877.4531,878.8164,4.655505,0.002239341
0.06,-2.406496145902602e-06,-9.077564055750708e-09,0.5099223595421448,6.2831793774738305,0.0008375550228860718,0.0,-0.00018499703030753895,-9.123167657657299e-07,0.8019610463580548,-0.00029654249533395263,0.032873802084272916,0.0,877.4531,878.8164,4.655505,0.002239341
0.08,-9.984247814677466e-06,-5.477793678160669e-08,0.5286294960963941,6.283173451441911,0.001555069127642028,0.0,-0.0005727781365699475,-3.657720506819868e-06,1.0687526090668664,-0.0003947054883484853,0.04383172735053818,0.0,877.4531,878.8164,4.655505,0.002239341
0.1,-2.863194031933119e-05,-1.8276455398253022e-07,0.5526674993518339,6.283165562115752,0.0024917221470808215,0.0,-0.001291991113895425,-9.140941213272486e-06,1.3350477164771197,-0.0004925176380336573,0.05478786466508662,0.0,877.4531,878.8164,4.655505,0.002239341
0.12000000000000001,-6.598008157936294e-05,-4.5677799965770545e-07,0.582025057137163,6.283155716511871,0.0036474666100358988,0.0,-0.0024428230121077508,-1.8260403354245035e-05,1.600708062055789,-0.0005899741005219507,0.06574114450753649,0.0,877.4531,878.8164,4.655505,0.002239341
0.14,-0.00013165470680958106,-9.584251503923596e-07,0.6166881004680814,6.283143921743692,0.0050222336750405105,0.0,-0.004124639510914062,-3.1904311719220374e-05,1.8655962710360519,-0.0006870702519619155,0.07669049835640766,0.0,877.4531,878.8164,4.655505,0.002239341
0.16,-0.0002372591225426338,-1.786958830106014e-06,0.6566398243683957,6.283130185017139,0.006615933158271581,0.0,-0.006435802062391213,-5.094905625214507e-05,2.1295761189953835,-0.0007838016982775513,0.08763485910544531,0.0,877.4531,878.8164,4.655505,0.002239341
0.18,-0.00039635204323374286,-3.0590260129960127e-06,0.7018607130241395,6.283114513626048,0.00842845356978561,0.0,-0.009473490006719692,-7.625766203685482e-05,2.3925127465789986,-0.0008801642844035965,0.09857316147880464,0.0,877.4531,878.8164,4.655505,0.002239341
0.19999999999999998,-0.0006244222286953351,-4.908385538175019e-06,0.7523285691855429,6.283096914947382,0.010459662158016414,0.0,-0.01333352853943954,-0.00010867829048104584,2.654272869561337,-0.0009761541029596986,0.10950434244475053,0.0,877.4531,878.8164,4.655505,0.002239341
0.21999999999999997,-0.0009388597477538306,-7.485596417162019e-06,0.8080185477157572,6.283077396436283,0.01270940496248496,0.0,-0.018110223366409994,-0.00014904279741765404,2.9147249834600957,-0.001071767502329185,0.12042734162753391,0.0,877.4531,878.8164,4.655505,0.002239341
0.23999999999999996,-0.0013589240097617277,-1.0957677926027229e-05,0.8689031931697906,6.283055965620955,0.015177506874682223,0.0,-0.02389620283437971,-0.00019816535346886684,3.173739561943232,-0.001167001094111109,0.13134110171710758,0.0,877.4531,878.8164,4.655505,0.002239341
0.25999999999999995,-0.0019057087208164463,-1.5507742776786596e-05,0.9349524812722145,6.283032630097397,0.017863771707070875,0.0,-0.03078226827109215,-0.00025684113160706997,3.43118924829916,-0.001261851759917399,0.14224456887635206,0.0,877.4531,878.8164,4.655505,0.002239341
0.27999999999999997,-0.002602103935623999,-2.133460475694334e-05,1.0061338641479445,6.283007397524006,0.020767982270145424,0.0,-0.0388572532096631,-0.00032584506640860416,3.6869490392738395,-0.0013563166574902387,0.15313669314548303,0.0,877.4531,878.8164,4.655505,0.002239341
0.3,-0.0034727553888020167,-2.8652362311230018e-05,1.0824123191468356,6.282980275616058,0.023889900457482405,0.0,-0.04820789210813867,-0.0004059306890200633,3.9408964606152765,-0.0014503932261182592,0.16401642884329887,0.0,877.4531,878.8164,4.655505,0.002239341
0.32,-0.004544021300956106,-3.7689959615004766e-05,1.1637504010900475,6.2829512721400675,0.027229267338713115,0.0,-0.058918699107270295,-0.0004978290413574113,4.192911733705912,-0.0015440791913336562,0.17488273496497417,0.0,877.4531,878.8164,4.655505,0.002239341
0.34,-0.005843926865011427,-4.869072675404338e-05,1.2501082977541673,6.282920394908068,0.030785803260337197,0.0,-0.07107185729826183,-0.00060224767254645,4.442877932706073,-0.0016373725688759672,0.1857345755760595,0.0,877.4531,878.8164,4.655505,0.002239341
0.36000000000000004,-0.007402116626976027,-6.191190068012842e-05,1.3414438883979964,6.282887651771812,0.03455920795428824,0.0,-0.08474711889819814,-0.0007198697200620533,4.690681131676843,-0.0017302716679118949,0.19657092020238914,0.0,877.4531,878.8164,4.655505,0.002239341
0.38000000000000006,-0.00924980498250525,-7.762412865553059e-05,1.4377128051267445,6.282853050616897,0.03854916065417413,0.0,-0.10002171665472397,-0.0008513530774781634,4.936210541197969,-0.0018227750935042306,0.20739074421559087,0.0,877.4531,878.8164,4.655505,0.002239341
0.4000000000000001,-0.011419725016292365,-9.611095593215165e-05,1.538868496879179,6.282816599356845,0.04275532021907846,0.0,-0.11697028672398763,-0.0009973296501839413,5.179358634045471,-0.0019148817483265706,0.21819302921388284,0.0,877.4531,878.8164,4.655505,0.002239341
